title	authors	journal	year	pmid	pmcid	doi
Predicting Hospitalization among Medicaid Home- and Community-Based Services Users Using Machine Learning Methods.	Jung D, Pollack HA, Konetzka RT.	Journal of applied gerontology : the official journal of the Southern Gerontological Society	2023	36164857	PMC10069559	10.1177/07334648221129548
Label-free detection and discrimination of respiratory pathogens based on electrochemical synthesis of biomaterials-mediated plasmonic composites and machine learning analysis.	Ansah IB, Leming M, Lee SH, Yang JY, Mun C, Noh K, An T, Lee S, Kim DH, Kim M, Im H, Park SG.	Biosensors & bioelectronics	2023	36867960	PMC10165532	10.1016/j.bios.2023.115178
Predicting osteoporotic fractures post-vertebroplasty: a machine learning approach with a web-based calculator.	Cai S, Liu W, Cai X, Xu C, Hu Z, Quan X, Deng Y, Yao H, Chen B, Li W, Yin C, Xu Q.	BMC surgery	2024	38724895	PMC11080251	10.1186/s12893-024-02427-x
Development of a spontaneous preterm birth predictive model using a panel of serum protein biomarkers for early pregnant women: A nested case-control study.	Liang S, Chen Y, Jia T, Chang Y, Li W, Piao Y, Chen X.	International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics	2025	39189090	PMC11726131	10.1002/ijgo.15876
"Comparing Three Data Mining Algorithms for Identifying
the Associated Risk Factors of Type 2 Diabetes"	Esmaeily H, Tayefi M, Ghayour-Mobarhan M, Amirabadizadeh A.	Iranian biomedical journal	2018	29374085	PMC6058191	10.29252/ibj.22.5.303
An efficient computational method for predicting drug-target interactions using weighted extreme learning machine and speed up robot features.	An JY, Meng FR, Yan ZJ.	BioData mining	2021	33472664	PMC7816443	10.1186/s13040-021-00242-1
Neural reshaping: the plasticity of human brain and artificial intelligence in the learning process.	Sadegh-Zadeh SA, Bahrami M, Soleimani O, Ahmadi S.	American journal of neurodegenerative disease	2024	39850545	PMC11751442	10.62347/nhkd7661
Combinatorial mapping of E3 ubiquitin ligases to their target substrates.	Suiter CC, Calderon D, Lee DS, Chiu M, Jain S, Chardon FM, Lee C, Daza RM, Trapnell C, Zheng N, Shendure J.	Molecular cell	2025	39919746	PMC11845296	10.1016/j.molcel.2025.01.016
Sequence Alignment Using Machine Learning for Accurate Template-based Protein Structure Prediction.	Makigaki S, Ishida T.	Bio-protocol	2020	33659566	PMC7842780	10.21769/bioprotoc.3600
Gut microbiome meta-analysis reveals dysbiosis is independent of body mass index in predicting risk of obesity-associated CRC.	Greathouse KL, White JR, Padgett RN, Perrotta BG, Jenkins GD, Chia N, Chen J.	BMJ open gastroenterology	2019	30899534	PMC6398873	10.1136/bmjgast-2018-000247
Practical prediction model of the clinical response to programmed death-ligand 1 inhibitors in advanced gastric cancer.	Noh MG, Yoon Y, Kim G, Kim H, Lee E, Kim Y, Park C, Lee KH, Park H.	Experimental & molecular medicine	2021	33547412	PMC8080676	10.1038/s12276-021-00559-1
Deep Learning for Acute Myeloid Leukemia Diagnosis.	Nazari E, Farzin AH, Aghemiri M, Avan A, Tara M, Tabesh H.	Journal of medicine and life	2020	33072212	PMC7550141	10.25122/jml-2019-0090
Associations between maternal obesity and offspring gut microbiome in the first year of life.	Gilley SP, Ruebel ML, Sims C, Zhong Y, Turner D, Lan RS, Pack LM, Piccolo BD, Chintapalli SV, Abraham A, Bode L, Andres A, Shankar K.	Pediatric obesity	2022	35478493	PMC9641193	10.1111/ijpo.12921
Machine learning-based prediction of in-hospital mortality for critically ill patients with sepsis-associated acute kidney injury.	Gao T, Nong Z, Luo Y, Mo M, Chen Z, Yang Z, Pan L.	Renal failure	2024	38369749	PMC10878338	10.1080/0886022x.2024.2316267
A Machine Learning Algorithm for Quantitatively Diagnosing Oxidative Stress Risks in Healthy Adult Individuals Based on Health Space Methodology: A Proof-of-Concept Study Using Korean Cross-Sectional Cohort Data.	Kim Y, Kim Y, Hwang J, van den Broek TJ, Oh B, Kim JY, Wopereis S, Bouwman J, Kwon O.	Antioxidants (Basel, Switzerland)	2021	34356365	PMC8301183	10.3390/antiox10071132
Improving Outcome Predictions for Patients Receiving Mechanical Circulatory Support by Optimizing Imputation of Missing Values.	Jaeger BC, Cantor R, Sthanam V, Xie R, Kirklin JK, Rudraraju R.	Circulation. Cardiovascular quality and outcomes	2021	34517728	PMC8455450	10.1161/circoutcomes.120.007071
Use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging.	Qian J, Ma R, Qu Y, Deng S, Duan Y, Zuo F, Wang Y, Wu Y.	Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology	2022	38596979	PMC9588865	10.7518/hxkq.2022.05.011
Colorectal cancer and adenoma screening using urinary volatile organic compound (VOC) detection: early results from a single-centre bowel screening population (UK BCSP).	Mozdiak E, Wicaksono AN, Covington JA, Arasaradnam RP.	Techniques in coloproctology	2019	30989415	PMC6536474	10.1007/s10151-019-01963-6
Construction of an Assisted Model Based on Natural Language Processing for Automatic Early Diagnosis of Autoimmune Encephalitis.	Zhao Y, Ren B, Yu W, Zhang H, Zhao D, Lv J, Xie Z, Jiang K, Shang L, Yao H, Xu Y, Zhao G.	Neurology and therapy	2022	35543808	PMC9338198	10.1007/s40120-022-00355-7
BERMP: a cross-species classifier for predicting m<sup>6</sup>A sites by integrating a deep learning algorithm and a random forest approach.	Huang Y, He N, Chen Y, Chen Z, Li L.	International journal of biological sciences	2018	30416381	PMC6216033	10.7150/ijbs.27819
Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data.	McDermott SP, Wasan AD.	Journal of pain research	2023	37361429	PMC10290467	10.2147/jpr.s389160
Radiomics analysis for prediction and classification of submucosal tumors based on gastrointestinal endoscopic ultrasonography.	Zhou H, Wei G, Wu J.	DEN open	2025	38715895	PMC11075076	10.1002/deo2.374
Machine learning-based prognostic and metastasis models of kidney cancer.	Zhang Y, Hong N, Huang S, Wu J, Gao J, Xu Z, Zhang F, Ma S, Liu Y, Sun P, Tang Y, Liu C, Shou J, Chen M.	Cancer innovation	2022	38090650	PMC10686164	10.1002/cai2.22
